value,count
1200.4,0
1202.7,0
1205,0
1207.4,0
1209.7,0
1212,0
1214.3,0
1216.7,0
1219,0
1221.3,0
1223.7,0
1226,0
1228.4,0
1230.7,0
1233.1,0
1235.5,0
1237.8,0
1240.2,0
1242.6,0
1245,0
1247.3,0
1249.7,0
1252.1,0
1254.5,0
1256.9,0
1259.3,0
1261.7,0
1264.1,0
1266.6,0
1269,0
1271.4,0
1273.8,0
1276.3,0
1278.7,0
1281.1,0
1283.6,0
1286,0
1288.5,0
1290.9,0
1293.4,0
1295.9,0
1298.3,0
1300.8,0
1303.3,0
1305.8,0
1308.2,0
1310.7,0
1313.2,0
1315.7,0
1318.2,0
1320.7,0
1323.2,0
1325.8,0
1328.3,0
1330.8,1
1333.3,0
1335.9,0
1338.4,0
1340.9,0
1343.5,0
1346,0
1348.6,0
1351.1,0
1353.7,0
1356.3,0
1358.9,0
1361.4,0
1364,0
1366.6,0
1369.2,0
1371.8,0
1374.4,0
1377,0
1379.6,0
1382.2,0
1384.8,0
1387.4,0
1390.1,0
1392.7,0
1395.3,0
1398,0
1400.6,0
1403.3,0
1405.9,0
1408.6,0
1411.3,0
1413.9,0
1416.6,0
1419.3,0
1422,0
1424.6,0
1427.3,0
1430,0
1432.7,0
1435.4,0
1438.2,0
1440.9,0
1443.6,0
1446.3,0
1449.1,0
1451.8,0
1454.5,0
1457.3,0
1460,0
1462.8,0
1465.6,0
1468.3,0
1471.1,0
1473.9,0
1476.6,0
1479.4,0
1482.2,0
1485,0
1487.8,0
1490.6,0
1493.4,0
1496.3,0
1499.1,1
